City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Kirakira,SB,83.26,overcast clouds,-10.4544,161.9205,SanBiz Lodge
6,Rikitea,PF,76.42,broken clouds,-23.1203,-134.9692,People ThankYou
7,Quepos,CR,87.1,broken clouds,9.4236,-84.1652,Jungle Beach Hotel at Manuel Antonio
16,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
24,Pemangkat,ID,79.43,overcast clouds,1.1667,108.9667,Ramah Kost KITA
26,Hilo,US,75.25,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
28,Atuona,PF,79.12,few clouds,-9.8,-139.0333,Villa Enata
29,Pedernales,DO,80.53,clear sky,18.0384,-71.744,Hotel Costa Marina
31,Harper,LR,79.27,broken clouds,4.375,-7.7169,Screensaver
34,Vaini,TO,82.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
40,Butaritari,KI,83.07,light rain,3.0707,172.7902,Isles Sunset Lodge
47,Saint-Philippe,RE,76.59,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
50,Port Hedland,AU,82.45,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
55,Zwedru,LR,76.03,overcast clouds,6.0667,-8.1281,Elijah Worjloh
69,Georgetown,MY,77.9,few clouds,5.4112,100.3354,Cititel Penang
71,Tual,ID,83.53,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
72,Avarua,CK,75.25,light rain,-21.2078,-159.775,Paradise Inn
75,Bousso,TD,78.4,scattered clouds,10.4795,16.7117,
80,Banning,US,77.81,broken clouds,33.9256,-116.8764,"Holiday Inn Express & Suites Banning, an IHG Hotel"
81,Cayenne,GF,78.1,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
84,Ciudad Bolivar,VE,81.36,broken clouds,8.1222,-63.5497,Hotel Edi
95,Anori,BR,75.51,light rain,-3.7728,-61.6442,Novo Hotel 5 Irmãos
98,Isangel,VU,84.31,broken clouds,-19.55,169.2667,Tanna Lodge
99,Melbourne,US,78.04,clear sky,28.0836,-80.6081,"Hilton Melbourne, FL"
100,Geraldton,AU,75.61,clear sky,-28.7667,114.6,Broadwater Mariner Resort
106,Lorengau,PG,84.61,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
107,Caravelas,BR,76.6,light rain,-17.7125,-39.2481,Pousada dos Navegantes
108,Nanakuli,US,75.15,moderate rain,21.3906,-158.1547,Camp Pālehua
109,Acarau,BR,81.34,scattered clouds,-2.8856,-40.12,castelo pizzaria
110,Ankazoabo,MG,76.06,clear sky,-22.2833,44.5167,ENCEIN BUREAU CISCO
119,Tabou,CI,79.66,few clouds,4.423,-7.3528,hotêl doufoulougou
123,Axim,GH,79.9,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
129,Buin,CL,81.05,clear sky,-33.7333,-70.75,Paihuen
133,Daru,PG,82.69,overcast clouds,-9.0763,143.2092,Daru Lodge
136,Thinadhoo,MV,81.75,broken clouds,0.5333,72.9333,
143,Mulege,MX,75.36,clear sky,26.8833,-111.9833,Casa Granada
144,Manta,EC,76.78,clear sky,-0.95,-80.7333,Balandra Hotel
151,Ternate,ID,82.11,moderate rain,0.8,127.4,Sahid Bela Ternate Hotel
153,Kavieng,PG,82.72,moderate rain,-2.5744,150.7967,Nusa Island Retreat
167,Mahajanga,MG,82.42,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
170,Chake Chake,TZ,77.09,overcast clouds,-5.2459,39.7666,Hotel Archipelago
174,Bubaque,GW,81.7,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
176,Marsh Harbour,BS,77.29,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
181,Omboue,GA,75.65,overcast clouds,-1.5746,9.2618,Hotel Olako
182,Karratha,AU,88.09,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
186,Acapulco,MX,85.82,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
188,Innisfail,AU,84.87,scattered clouds,-17.5333,146.0333,Moondarra Motel
191,Male,MV,80.55,scattered clouds,4.1748,73.5089,Hotel Octave Maldives
192,Altar,MX,78.93,clear sky,30.7,-111.8167,Hotel Maria Elena
194,Lucea,JM,84.06,few clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
195,Mahebourg,MU,78.26,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
197,Atambua,ID,77.9,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
202,Souillac,MU,78.37,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
206,Morondava,MG,78.04,clear sky,-20.2833,44.2833,La Case Bambou
215,Sumbe,AO,77.23,broken clouds,-11.2061,13.8437,Hotel Ritz Sumbe
217,Chontalpa,MX,80.19,broken clouds,17.7,-93.5167,
223,Cabedelo,BR,79.47,clear sky,-6.9811,-34.8339,Hotel Pigalle
226,Akyab,MM,76.96,broken clouds,20.15,92.9,Hotel Memory
232,Soto La Marina,MX,82.78,overcast clouds,23.7667,-98.2167,Hotel Chicago
234,Carora,VE,79.54,scattered clouds,10.1755,-70.0827,Hotel Irpinia
239,Hatillo,PR,81.93,clear sky,18.4863,-66.8254,Hotel Parador El Buen Cafe
240,Carutapera,BR,77.25,broken clouds,-1.195,-46.02,Lidera
243,La Union,PE,75.34,overcast clouds,-5.4,-80.75,Los Portales
244,Mayumba,GA,75.65,overcast clouds,-3.432,10.6554,LIKWALE LODGE
246,Kampot,KH,77.05,scattered clouds,10.6167,104.1833,Two Moons Hotel
