City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Krasnaya Gorbatka,RU,2021-12-01 23:49:04,55.8703,41.7641,24.37,75,100,11.18
1,Atuona,PF,2021-12-01 23:49:04,-9.8,-139.0333,78.58,79,57,21.27
2,Leh,IN,2021-12-01 23:49:04,34.1667,77.5833,18.97,50,97,3.02
3,Severo-Kurilsk,RU,2021-12-01 23:49:05,50.6789,156.125,42.03,91,100,20.85
4,La Ronge,CA,2021-12-01 23:49:05,55.1001,-105.2842,14.25,85,90,6.91
5,Ivybridge,GB,2021-12-01 23:49:05,50.3904,-3.9191,40.57,87,25,8.52
6,Ekuvukeni,ZA,2021-12-01 23:49:06,-28.4675,30.1551,66.31,64,34,3.29
7,Buchanan,LR,2021-12-01 23:49:06,5.8808,-10.0467,78.82,84,30,5.41
8,Hermanus,ZA,2021-12-01 23:49:06,-34.4187,19.2345,60.91,74,79,10.49
9,Cherskiy,RU,2021-12-01 23:49:07,68.75,161.3,-30.06,100,98,4.21
10,Pedernales,DO,2021-12-01 23:49:07,18.0384,-71.744,79.56,71,56,2.89
11,Flagstaff,US,2021-12-01 23:49:08,35.1981,-111.6513,60.46,14,1,9.22
12,Aquiraz,BR,2021-12-01 23:49:08,-3.9014,-38.3911,83.21,68,85,11.68
13,Nancha,CN,2021-12-01 23:49:08,47.1333,129.2667,9.19,91,80,2.44
14,Geraldton,AU,2021-12-01 23:47:33,-28.7667,114.6,66.61,55,0,19.57
15,Carnarvon,AU,2021-12-01 23:49:09,-24.8667,113.6333,69.87,68,0,24.16
16,Camana,PE,2021-12-01 23:49:09,-16.6228,-72.7111,67.77,77,94,7.05
17,Butaritari,KI,2021-12-01 23:49:09,3.0707,172.7902,82.22,77,96,11.01
18,Ahipara,NZ,2021-12-01 23:49:10,-35.1667,173.1667,71.73,62,100,3.69
19,Barrow,US,2021-12-01 23:49:10,71.2906,-156.7887,-14.78,76,90,10.36
20,Husavik,IS,2021-12-01 23:49:10,66.0449,-17.3389,19.31,83,100,12.19
21,Tasiilaq,GL,2021-12-01 23:49:10,65.6145,-37.6368,25.23,92,100,35.84
22,Miquelon,PM,2021-12-01 23:49:11,47.0975,-56.3814,38.39,87,68,5.44
23,Moyale,KE,2021-12-01 23:49:11,3.5167,39.0584,67.26,51,98,6.6
24,Mataura,NZ,2021-12-01 23:49:11,-46.1927,168.8643,68.49,37,52,0.85
25,Kupang,ID,2021-12-01 23:45:53,-10.1667,123.5833,82.98,78,40,4.61
26,Rikitea,PF,2021-12-01 23:46:11,-23.1203,-134.9692,76.44,73,0,17.34
27,Hobart,AU,2021-12-01 23:49:12,-42.8794,147.3294,88.02,58,20,1.01
28,Asau,RO,2021-12-01 23:49:12,46.4333,26.4,37.76,86,99,6.17
29,Kestel,TR,2021-12-01 23:49:13,40.1983,29.2124,33.28,64,3,3.69
30,Kaitangata,NZ,2021-12-01 23:49:13,-46.2817,169.8464,64.92,82,31,8.99
31,Longyearbyen,SJ,2021-12-01 23:49:13,78.2186,15.6401,8.44,78,75,6.91
32,Kashi,CN,2021-12-01 23:49:14,39.4547,75.9797,25.81,54,0,8.95
33,Port Alfred,ZA,2021-12-01 23:46:15,-33.5906,26.891,66.97,93,57,2.3
34,Saint George,US,2021-12-01 23:47:32,37.1041,-113.5841,75.67,23,1,0.0
35,Tpig,RU,2021-12-01 23:49:14,41.7801,47.589,24.82,97,100,2.33
36,Qaqortoq,GL,2021-12-01 23:49:14,60.7167,-46.0333,32.68,99,100,23.0
37,Qaanaaq,GL,2021-12-01 23:49:15,77.484,-69.3632,4.8,76,15,6.15
38,Punta Arenas,CL,2021-12-01 23:48:06,-53.15,-70.9167,51.91,50,20,26.46
39,Opuwo,NA,2021-12-01 23:49:15,-18.0607,13.84,68.59,24,75,3.27
40,Busselton,AU,2021-12-01 23:46:02,-33.65,115.3333,63.05,58,25,12.37
41,Rocha,UY,2021-12-01 23:49:16,-34.4833,-54.3333,56.77,76,97,4.9
42,Chokurdakh,RU,2021-12-01 23:49:16,70.6333,147.9167,-31.52,100,99,7.92
43,Hilo,US,2021-12-01 23:49:16,19.7297,-155.09,75.61,89,75,4.61
44,Norman Wells,CA,2021-12-01 23:49:16,65.282,-126.8329,-21.96,63,75,5.75
45,Avarua,CK,2021-12-01 23:49:17,-21.2078,-159.775,82.45,78,20,16.11
46,Den Helder,NL,2021-12-01 23:49:17,52.9599,4.7593,44.58,82,75,14.0
47,Ushuaia,AR,2021-12-01 23:49:17,-54.8,-68.3,49.66,53,40,19.57
48,Azare,NG,2021-12-01 23:49:18,11.6765,10.1948,72.14,24,26,9.84
49,Thompson,CA,2021-12-01 23:49:18,55.7435,-97.8558,-0.24,78,90,6.91
50,Ayacucho,PE,2021-12-01 23:49:18,-13.1583,-74.2239,64.26,59,75,2.3
51,Salisbury,GB,2021-12-01 23:49:19,51.0693,-1.7957,39.09,83,31,13.8
52,Jamestown,US,2021-12-01 23:49:19,42.097,-79.2353,40.32,74,90,4.0
53,East London,ZA,2021-12-01 23:46:10,-33.0153,27.9116,69.21,92,95,5.5
54,Avera,US,2021-12-01 23:49:19,33.194,-82.5271,61.72,49,48,7.23
55,Arraial Do Cabo,BR,2021-12-01 23:46:10,-22.9661,-42.0278,75.16,94,75,5.75
56,Casas Grandes,MX,2021-12-01 23:49:20,30.3667,-107.95,68.45,41,39,5.39
57,Uromi,NG,2021-12-01 23:49:20,6.7,6.3333,72.27,92,87,5.64
58,Talnakh,RU,2021-12-01 23:47:46,69.4865,88.3972,-23.75,99,45,4.25
59,Khatanga,RU,2021-12-01 23:49:21,71.9667,102.5,-37.7,100,96,1.97
60,Kara-Tyube,RU,2021-12-01 23:49:21,44.6336,45.4369,37.94,86,60,10.27
61,Choya,RU,2021-12-01 23:49:21,52.0108,86.5467,14.63,92,6,4.16
62,San Luis,AR,2021-12-01 23:49:22,-33.295,-66.3356,75.47,43,48,7.65
63,San Rafael,AR,2021-12-01 23:49:22,-34.6177,-68.3301,78.12,33,36,6.13
64,Hambantota,LK,2021-12-01 23:48:22,6.1241,81.1185,75.09,86,18,3.76
65,Albany,US,2021-12-01 23:49:07,42.6001,-73.9662,34.81,78,99,2.46
66,Kentau,KZ,2021-12-01 23:49:22,43.5206,68.5094,51.46,36,99,7.02
67,Clarence Town,AU,2021-12-01 23:49:23,-32.5833,151.7833,79.14,59,72,5.5
68,Mount Isa,AU,2021-12-01 23:49:23,-20.7333,139.5,94.77,21,3,14.97
69,Shingu,JP,2021-12-01 23:49:24,33.7333,135.9833,45.59,56,3,4.85
70,Aktau,KZ,2021-12-01 23:49:24,43.65,51.2,41.58,72,99,17.92
71,Sao Filipe,CV,2021-12-01 23:49:24,14.8961,-24.4956,75.02,68,100,11.14
72,Baruun-Urt,MN,2021-12-01 23:49:25,46.6806,113.2792,21.38,60,76,20.29
73,Harper,LR,2021-12-01 23:49:25,4.375,-7.7169,79.57,80,59,5.79
74,Cidreira,BR,2021-12-01 23:49:25,-30.1811,-50.2056,65.89,70,29,7.83
75,Det Udom,TH,2021-12-01 23:49:26,14.906,105.0784,62.42,77,73,7.4
76,Sabha,LY,2021-12-01 23:49:26,27.0377,14.4283,55.96,35,94,9.17
77,Bowen,AU,2021-12-01 23:49:26,-20.0167,148.2333,84.42,65,0,6.51
78,Hithadhoo,MV,2021-12-01 23:49:27,-0.6,73.0833,81.46,76,99,6.15
79,Antofagasta,CL,2021-12-01 23:49:27,-23.65,-70.4,63.68,80,88,6.11
80,Dikson,RU,2021-12-01 23:49:28,73.5069,80.5464,-6.65,96,100,14.67
81,Tuktoyaktuk,CA,2021-12-01 23:49:28,69.4541,-133.0374,-23.8,76,75,4.61
