City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
0,Kirakira,-10.4544,161.9205,83.26,78,100,7.4,SB,2021-12-06 22:34:24,overcast clouds
1,Albany,42.6001,-73.9662,58.08,88,100,11.54,US,2021-12-06 22:30:48,light rain
2,Yellowknife,62.456,-114.3525,-16.58,83,75,4.61,CA,2021-12-06 22:31:14,broken clouds
3,Roald,62.5833,6.1333,37.09,59,75,20.71,NO,2021-12-06 22:38:43,broken clouds
4,Derzhavinsk,51.1,66.3167,20.82,97,100,5.28,KZ,2021-12-06 22:38:44,light snow
5,Shimoda,34.6667,138.95,56.1,82,80,18.19,JP,2021-12-06 22:38:44,broken clouds
6,Rikitea,-23.1203,-134.9692,76.42,72,73,8.5,PF,2021-12-06 22:32:14,broken clouds
7,Quepos,9.4236,-84.1652,87.1,86,77,2.37,CR,2021-12-06 22:38:44,broken clouds
8,Saint George,37.1041,-113.5841,68.47,24,1,0.0,US,2021-12-06 22:32:12,clear sky
9,Verkhoyansk,67.5447,133.385,-41.1,92,78,3.87,RU,2021-12-06 22:38:45,broken clouds
10,Hobart,-42.8794,147.3294,56.12,83,75,9.22,AU,2021-12-06 22:31:56,light intensity shower rain
11,Bac Lieu,9.285,105.7244,74.28,88,98,6.42,VN,2021-12-06 22:38:45,overcast clouds
12,Talnakh,69.4865,88.3972,-9.8,99,100,12.06,RU,2021-12-06 22:32:15,light snow
13,Upernavik,72.7868,-56.1549,18.09,93,100,5.91,GL,2021-12-06 22:32:24,overcast clouds
14,Bluff,-46.6,168.3333,61.81,54,2,6.64,NZ,2021-12-06 22:32:10,clear sky
15,Lavrentiya,65.5833,-171.0,-2.04,92,100,8.88,RU,2021-12-06 22:33:12,overcast clouds
16,Puerto Ayora,-0.7393,-90.3518,76.96,78,54,9.1,EC,2021-12-06 22:32:33,broken clouds
17,Chapais,49.7834,-74.8492,19.18,98,100,7.56,CA,2021-12-06 22:33:33,snow
18,Beringovskiy,63.05,179.3167,-5.39,84,80,9.26,RU,2021-12-06 22:32:32,broken clouds
19,Tynda,55.1667,124.7167,-14.33,99,13,1.01,RU,2021-12-06 22:38:46,few clouds
20,Ushuaia,-54.8,-68.3,56.86,44,75,17.27,AR,2021-12-06 22:32:12,broken clouds
21,Nishihara,26.1842,127.7558,65.48,77,20,9.22,JP,2021-12-06 22:34:22,few clouds
22,Lebu,-37.6167,-73.65,60.08,83,4,12.75,CL,2021-12-06 22:33:11,clear sky
23,Storsteinnes,69.2408,19.2344,15.8,72,67,7.83,NO,2021-12-06 22:38:47,broken clouds
24,Pemangkat,1.1667,108.9667,79.43,83,100,6.91,ID,2021-12-06 22:34:43,overcast clouds
25,Punta Arenas,-53.15,-70.9167,51.12,85,100,15.75,CL,2021-12-06 22:27:56,light rain
26,Hilo,19.7297,-155.09,75.25,92,90,6.91,US,2021-12-06 22:32:27,heavy intensity rain
27,Iqaluit,63.7506,-68.5145,10.13,60,40,4.0,CA,2021-12-06 22:32:32,scattered clouds
28,Atuona,-9.8,-139.0333,79.12,67,11,19.53,PF,2021-12-06 22:32:44,few clouds
29,Pedernales,18.0384,-71.744,80.53,67,0,8.21,DO,2021-12-06 22:38:48,clear sky
30,Cape Town,-33.9258,18.4232,62.11,71,0,1.99,ZA,2021-12-06 22:27:51,clear sky
31,Harper,4.375,-7.7169,79.27,84,56,9.93,LR,2021-12-06 22:33:46,broken clouds
32,Rauma,61.1272,21.5113,-0.36,93,93,5.84,FI,2021-12-06 22:38:48,overcast clouds
33,Ribeira Grande,38.5167,-28.7,64.74,78,100,17.02,PT,2021-12-06 22:32:20,overcast clouds
34,Vaini,-21.2,-175.2,82.56,83,75,10.36,TO,2021-12-06 22:32:15,broken clouds
35,Nikolskoye,59.7035,30.7861,4.91,97,100,3.31,RU,2021-12-06 22:32:22,overcast clouds
36,Shiyan,32.6475,110.7781,40.28,52,10,7.25,CN,2021-12-06 22:38:49,clear sky
37,Khandyga,62.6667,135.6,-18.18,99,100,1.28,RU,2021-12-06 22:38:49,overcast clouds
38,Herrenberg,48.5952,8.8665,36.61,84,100,7.18,DE,2021-12-06 22:38:49,overcast clouds
39,New Norfolk,-42.7826,147.0587,55.76,58,100,4.47,AU,2021-12-06 22:32:16,overcast clouds
40,Butaritari,3.0707,172.7902,83.07,75,98,14.43,KI,2021-12-06 22:32:44,light rain
41,Barrow,71.2906,-156.7887,24.82,74,1,19.57,US,2021-12-06 22:31:36,clear sky
42,Pinheiro Machado,-31.5783,-53.3811,63.05,88,45,10.83,BR,2021-12-06 22:38:50,scattered clouds
43,Misratah,32.3754,15.0925,55.78,62,54,38.23,LY,2021-12-06 22:38:48,broken clouds
44,Ahipara,-35.1667,173.1667,71.83,71,100,8.25,NZ,2021-12-06 22:32:29,overcast clouds
45,Pisco,-13.7,-76.2167,69.85,73,0,13.8,PE,2021-12-06 22:32:25,light rain
46,Makakilo City,21.3469,-158.0858,73.72,85,40,9.22,US,2021-12-06 22:32:52,moderate rain
47,Saint-Philippe,-21.3585,55.7679,76.59,80,22,9.98,RE,2021-12-06 22:32:21,few clouds
48,Saint-Francois,46.4154,3.9054,38.68,92,90,3.44,FR,2021-12-06 22:38:51,mist
49,Port Lincoln,-34.7333,135.8667,59.29,57,90,12.5,AU,2021-12-06 22:36:10,overcast clouds
50,Port Hedland,-20.3167,118.5667,82.45,83,87,6.91,AU,2021-12-06 22:38:51,overcast clouds
51,Ambilobe,-13.2,49.05,73.9,75,13,4.05,MG,2021-12-06 22:38:51,few clouds
52,Brae,60.3964,-1.353,44.51,72,98,16.71,GB,2021-12-06 22:38:52,overcast clouds
53,Jamestown,42.097,-79.2353,36.99,75,90,15.99,US,2021-12-06 22:30:55,light snow
54,Sao Joao Da Barra,-21.6403,-41.0511,72.27,88,100,6.55,BR,2021-12-06 22:29:14,overcast clouds
55,Zwedru,6.0667,-8.1281,76.03,85,90,2.26,LR,2021-12-06 22:38:52,overcast clouds
56,Lubango,-14.9172,13.4925,61.02,79,50,3.58,AO,2021-12-06 22:38:53,scattered clouds
57,Shelburne,44.0787,-80.2041,31.42,87,76,26.4,CA,2021-12-06 22:38:53,snow
58,Bredasdorp,-34.5322,20.0403,52.29,79,8,3.51,ZA,2021-12-06 22:32:14,clear sky
59,Kalakamati,-20.5929,27.3121,70.5,61,91,5.95,BW,2021-12-06 22:38:54,overcast clouds
60,Ancud,-41.8697,-73.8203,65.43,64,0,1.48,CL,2021-12-06 22:32:49,clear sky
61,Sao Felix Do Xingu,-6.6447,-51.995,74.64,97,100,0.98,BR,2021-12-06 22:38:21,overcast clouds
62,Narsaq,60.9167,-46.05,21.42,66,75,19.35,GL,2021-12-06 22:28:02,broken clouds
63,Port Elizabeth,-33.918,25.5701,62.1,94,0,5.75,ZA,2021-12-06 22:34:13,clear sky
64,Mataura,-46.1927,168.8643,61.48,44,4,2.59,NZ,2021-12-06 22:32:22,clear sky
65,Dunedin,-45.8742,170.5036,51.42,92,100,10.63,NZ,2021-12-06 22:38:55,overcast clouds
66,Patur,20.45,76.9333,65.1,62,0,4.52,IN,2021-12-06 22:38:55,clear sky
67,Kleinblittersdorf,49.1578,7.0373,37.92,98,75,13.8,DE,2021-12-06 22:38:56,broken clouds
68,Binzhou,37.3667,118.0167,35.31,71,0,1.72,CN,2021-12-06 22:38:56,clear sky
69,Georgetown,5.4112,100.3354,77.9,81,20,0.0,MY,2021-12-06 22:31:27,few clouds
70,Richards Bay,-28.783,32.0377,73.24,85,77,14.38,ZA,2021-12-06 22:33:41,broken clouds
71,Tual,-5.6667,132.75,83.53,75,100,4.88,ID,2021-12-06 22:34:52,overcast clouds
72,Avarua,-21.2078,-159.775,75.25,94,75,6.91,CK,2021-12-06 22:32:53,light rain
73,Qaanaaq,77.484,-69.3632,19.65,80,100,7.47,GL,2021-12-06 22:32:26,overcast clouds
74,Aripuana,-9.1667,-60.6333,74.48,94,94,2.71,BR,2021-12-06 22:34:15,overcast clouds
75,Bousso,10.4795,16.7117,78.4,25,49,6.78,TD,2021-12-06 22:38:57,scattered clouds
76,Aranos,-24.1333,19.1167,72.05,20,0,9.55,NA,2021-12-06 22:34:48,clear sky
77,Gamba,-2.65,10.0,74.93,94,100,4.05,GA,2021-12-06 22:38:57,overcast clouds
78,Lillooet,50.6856,-121.942,29.16,75,100,2.17,CA,2021-12-06 22:38:58,overcast clouds
79,Lasa,46.6166,10.7002,27.7,71,51,4.14,IT,2021-12-06 22:38:58,broken clouds
80,Banning,33.9256,-116.8764,77.81,21,62,9.19,US,2021-12-06 22:38:58,broken clouds
81,Cayenne,4.9333,-52.3333,78.1,89,0,0.0,GF,2021-12-06 22:30:23,clear sky
82,Leningradskiy,69.3833,178.4167,-6.38,86,100,28.12,RU,2021-12-06 22:33:27,overcast clouds
83,Lashio,22.9333,97.75,59.38,92,60,0.83,MM,2021-12-06 22:38:59,broken clouds
84,Ciudad Bolivar,8.1222,-63.5497,81.36,67,81,13.33,VE,2021-12-06 22:38:59,broken clouds
85,Tignere,7.3667,12.65,71.19,29,100,2.26,CM,2021-12-06 22:38:59,overcast clouds
86,Tukrah,32.5341,20.5791,58.5,59,29,32.97,LY,2021-12-06 22:39:00,scattered clouds
87,Lexington,37.9887,-84.4777,38.52,52,1,3.0,US,2021-12-06 22:36:40,clear sky
88,Dubbo,-32.25,148.6167,71.73,73,75,4.61,AU,2021-12-06 22:39:00,broken clouds
89,Veere,51.5483,3.6667,46.38,66,75,13.0,NL,2021-12-06 22:39:00,broken clouds
90,Kapaa,22.0752,-159.319,71.92,80,90,12.66,US,2021-12-06 22:32:18,heavy intensity rain
91,Arraial Do Cabo,-22.9661,-42.0278,73.81,87,74,8.28,BR,2021-12-06 22:32:18,broken clouds
92,Kodiak,57.79,-152.4072,38.71,87,90,17.27,US,2021-12-06 22:32:23,moderate rain
93,Hasaki,35.7333,140.8333,50.29,78,95,15.05,JP,2021-12-06 22:32:56,overcast clouds
94,Novorudnyy,51.5026,58.1873,19.89,90,51,5.57,RU,2021-12-06 22:39:01,broken clouds
95,Anori,-3.7728,-61.6442,75.51,97,77,3.22,BR,2021-12-06 22:39:01,light rain
96,Khatanga,71.9667,102.5,-7.06,98,100,8.25,RU,2021-12-06 22:33:39,overcast clouds
97,Bilma,18.6853,12.9164,67.19,17,4,7.96,NE,2021-12-06 22:32:56,clear sky
98,Isangel,-19.55,169.2667,84.31,74,75,0.0,VU,2021-12-06 22:32:24,broken clouds
99,Melbourne,28.0836,-80.6081,78.04,85,1,6.91,US,2021-12-06 22:34:46,clear sky
100,Geraldton,-28.7667,114.6,75.61,46,0,13.8,AU,2021-12-06 22:29:09,clear sky
101,Hermanus,-34.4187,19.2345,59.9,76,7,2.37,ZA,2021-12-06 22:32:13,clear sky
102,Keti Bandar,24.1447,67.4497,69.1,30,0,12.75,PK,2021-12-06 22:39:02,clear sky
103,Bethel,41.3712,-73.414,58.1,88,75,5.01,US,2021-12-06 22:32:16,broken clouds
104,Fevik,58.3794,8.6766,24.57,84,100,16.4,NO,2021-12-06 22:39:03,light snow
105,Half Moon Bay,37.4636,-122.4286,61.61,88,90,3.0,US,2021-12-06 22:30:05,mist
106,Lorengau,-2.0226,147.2712,84.61,78,97,14.63,PG,2021-12-06 22:33:00,overcast clouds
107,Caravelas,-17.7125,-39.2481,76.6,84,96,7.7,BR,2021-12-06 22:38:31,light rain
108,Nanakuli,21.3906,-158.1547,75.15,94,90,6.91,US,2021-12-06 22:39:03,moderate rain
109,Acarau,-2.8856,-40.12,81.34,80,36,19.15,BR,2021-12-06 22:39:04,scattered clouds
110,Ankazoabo,-22.2833,44.5167,76.06,65,1,4.23,MG,2021-12-06 22:39:04,clear sky
111,Numazu,35.1,138.8667,56.01,78,95,7.74,JP,2021-12-06 22:39:04,overcast clouds
112,Russell,32.3502,-85.1999,62.96,93,90,0.0,US,2021-12-06 22:38:37,heavy intensity rain
113,Castro,-24.7911,-50.0119,59.0,97,67,3.02,BR,2021-12-06 22:33:09,broken clouds
114,Te Anau,-45.4167,167.7167,60.13,55,13,1.32,NZ,2021-12-06 22:32:11,few clouds
115,Thompson,55.7435,-97.8558,-18.24,69,20,6.91,CA,2021-12-06 22:28:57,few clouds
116,Alta Floresta,-9.8756,-56.0861,74.35,95,86,1.52,BR,2021-12-06 22:38:34,overcast clouds
117,Port Hardy,50.6996,-127.4199,41.0,87,90,26.46,CA,2021-12-06 22:30:04,light rain
118,Port Alfred,-33.5906,26.891,64.76,87,78,11.07,ZA,2021-12-06 22:32:08,broken clouds
119,Tabou,4.423,-7.3528,79.66,82,20,9.35,CI,2021-12-06 22:39:05,few clouds
120,Sungaipenuh,-2.0833,101.3833,63.16,93,99,1.66,ID,2021-12-06 22:39:06,overcast clouds
121,Mangan,27.5167,88.5333,55.74,80,76,6.78,IN,2021-12-06 22:39:06,broken clouds
122,Cherskiy,68.75,161.3,-24.54,97,100,4.38,RU,2021-12-06 22:30:30,overcast clouds
123,Axim,4.8699,-2.2405,79.9,84,85,6.33,GH,2021-12-06 22:39:06,overcast clouds
124,Nara,34.6851,135.8049,51.26,93,100,3.44,JP,2021-12-06 22:39:07,overcast clouds
125,Eureka,40.8021,-124.1637,52.41,84,100,3.58,US,2021-12-06 22:36:17,overcast clouds
126,Kigoma,-4.8769,29.6267,73.53,83,100,5.01,TZ,2021-12-06 22:35:24,light rain
127,Busselton,-33.65,115.3333,59.04,60,0,18.34,AU,2021-12-06 22:32:32,clear sky
128,Westport,41.1415,-73.3579,58.82,93,90,1.01,US,2021-12-06 22:31:07,overcast clouds
129,Buin,-33.7333,-70.75,81.05,42,0,7.25,CL,2021-12-06 22:39:08,clear sky
